identificativo,cifre,allenatore,evento,stato,nota
05194,5,ポケセン,Pokémon Center Battle Championship Gyarados,coperta con allenatore,First distribution
05194,5,ポケセン,Pokémon Center Battle Championship Scizor,coperta con allenatore,First distribution
05206,5,XYZ,Pokémon the Series: XYZ Yveltal,coperta con allenatore,Shiny
05223,5,ＰＣＴＨ,Pokémon Center 15th Anniversary Serperior,coperta sul solo identificativo,None
05264,5,ポケセン,Pokémon Center Battle Championship Kangaskhan,coperta con allenatore,First distribution
05276,5,アカネ Blanca Blanche Whitney Bianka Chiara 꼭두,Johto Classic Whitney's Miltank,coperta sul solo identificativo,None
05276,5,P-Cafe,Pokémon Cafe Pikachu,coperta con allenatore,None
05293,5,ＰＣＴ,Pokémon Center 15th Anniversary Pikachu,coperta sul solo identificativo,None
05308,5,マック,McDonald's Pikachu,coperta con allenatore,None
05309,5,VGC09,Europe Video Game Championships 2009 Milotic,coperta con allenatore,Shiny
05318,5,ALAMOS,Nintendo World Store Darkrai,coperta con allenatore,None
05318,5,ALAMOS,"Toys ""R"" Us Darkrai",coperta con allenatore,None
05318,5,한국닌텐도,Nintendo of Korea Rayquaza,coperta sul solo identificativo,None
053277,6,マイスター Meister,Meister 's ID BD SP,coperta sul solo identificativo,None
05458,5,ジュン,Jun Psyduck,non coperta,None
05720,5,ショウスケ Cotton,Cottonee (Pokémon),non coperta,The ID of Trainer wanting to trade on Route 4 W2
06011,5,SMR2011 ÉTÉ2011 EST2011 VER2011,Summer 2011 Zoroark,coperta sul solo identificativo,None
06011,5,SMR2011 ÉTÉ2011 EST2011 VER2011,Summer 2011 Karrablast,coperta sul solo identificativo,None
06011,5,SMR2011 ÉTÉ2011 EST2011 VER2011,Summer 2011 Shelmet,coperta sul solo identificativo,None
06012,5,FILM14,Movie 14 Victini,coperta sul solo identificativo,The gender of the OT is determined by the gender of the player character
06012,5,PC,Multiple,coperta con allenatore,Used for the Lucario and Whimsicott distributed in the second part of Powerful Tag Pokémon series
06014,5,Paris,Paris Poké Ball Pattern Vivillon,coperta con allenatore,None
06016,5,GF,20th Anniversary Manaphy,coperta con allenatore,None
060218,6,2018 Legends Légendes2018 Legenden2018 Leggende2018 Leyendas2018,Multiple,coperta sul solo identificativo,Used for the Legendary Pokémon Celebration Shiny Zygarde
06024,5,ポケセン,Pokémon Center Battle Championship Gengar,coperta con allenatore,First distribution
06030,5,SMR2010,Australian Summer 2010 Jirachi,coperta con allenatore,"When traded to HeartGold and SoulSilver , unlocks the Pokéwalker route Night Sky's Edge"
060310,6,マニシ Exemann,Exeggutor (Pokémon),coperta sul solo identificativo,The ID of the Trainer at Indigo Plateau who wants to trade
060407,6,Ash Sacha,Sinnoh Cap Pikachu,coperta sul solo identificativo,"Distributed in America, Europe, and Taiwan"
06053,5,ＰＣＹ,Pokémon Center 15th Anniversary Torterra,coperta sul solo identificativo,None
06055,5,완전전국도감,National Pokédex Mareep,coperta con allenatore,None
06069,5,배틀시리즈,Battle Series 2009 Arcanine,non coperta,None
06092,5,선발전12,Korean Nationals 2012 Volcarona,non coperta,Shiny
060928,6,サトシ,Sinnoh Cap Pikachu,coperta con allenatore,Distributed in Japan
06094,5,ポケセン,Pokémon Center Battle Championship Tyranitar,coperta con allenatore,First distribution
06096,5,Nintendo HK,Nintendo Hong Kong Mewtwo,coperta con allenatore,Shiny
06123,5,ＰＣＮ,Pokémon Center 15th Anniversary Infernape,coperta sul solo identificativo,None
06153,5,Ｐヒルズ,Pokémon Hills Mewtwo,coperta con allenatore,None
06164,5,ポケセン,Pokémon Center Battle Championship Mawile,coperta con allenatore,First distribution
06171,5,カリータ,Carlita's Hydreigon,coperta con allenatore,Shiny
06171,5,ジャンタ,Juanita's Golurk,coperta con allenatore,Shiny
06176,5,キミア,Kimia's Gardevoir,coperta con allenatore,Shiny
06180,5,グーン,Goone's Scizor,coperta con allenatore,None
06180,5,クラウン,Multiple,coperta con allenatore,"Shiny ; used for the Entei , Raikou , and Suicune given away to commemorate Zoroark: Master of Illusions Compatible with Black and White 's Relocator , where they can trigger a battle with a wild Zoroark via Relocator"
06193,5,ＰＣＯ,Pokémon Center 15th Anniversary Emboar,coperta sul solo identificativo,None
06199,5,NZ,Nintendo Zone Jirachi,coperta con allenatore,None
06199,5,しょこたん,Shokotan Pichu,coperta con allenatore,"Shiny ; When traded to HeartGold and SoulSilver , allows the player to obtain a Spiky-eared Pichu"
06205,5,デセルシティ,Multiple,coperta con allenatore,"Used for the disribution of the Dahara City Kyogre , Groudon , Dialga , Palkia , and Kyurem"
06209,5,한국닌텐도,Nintendo of Korea Regigigas,non coperta,"When traded to Platinum , unlocks the Rock Peak , Iceberg , and Iron Ruins"
06214,5,Jessie,Pokémon Day Jessie's Wobbuffet,coperta con allenatore,None
06216,5,방송국,Station Zoroark,non coperta,None
06218,5,Gamestp,GameStop Deoxys,coperta con allenatore,None
06225,5,JUN2015,June 2015 Dragonite,coperta con allenatore,None
06227,5,10ANNIV 10JAHRE 10ANIV 10ANNI,Multiple,coperta sul solo identificativo,Used for the Top 10 Distribution Pokémon in Europe
06232,5,アイリス,PGS Iris's Haxorus,coperta con allenatore,None
06232,5,ゲーチス,Pokémon Center Occupation Plan Ghetsis's Hydreigon,coperta con allenatore,None
06232,5,しょこたん,Shokotan Keldeo,coperta con allenatore,Can learn Secret Sword in Generation V
06234,5,ポケセン,Multiple,non coperta,"Used for the second distribution of the Pokémon Center Battle Championship Kangaskhan , Scizor , and Gyarados"
06257,5,PKTOPIA,Multiple,coperta con allenatore,Used for the Pokémon obtainable from the American Pokémon Battle Revolution
06260,5,EST2010 ETE2010 SMR2010 SO2010 VER2010,Summer 2010 Jirachi,coperta sul solo identificativo,"When traded to HeartGold and SoulSilver , unlocks the Pokéwalker route Night Sky's Edge"
06263,5,ＰＣＦ,Pokémon Center 15th Anniversary Samurott,coperta sul solo identificativo,None
06265,5,ポケセン,Multiple,coperta con allenatore,Used for the Pokémon Center Hiroshima Magikarp and Shiny Gyarados
06281,5,지우,Han Jiwoo's Scraggy,coperta sul solo identificativo,None
06298,5,피카츄 카페,Multiple,non coperta,Used for an special event Electivire and Magmortar given away in South Korea
063017,6,NA Champs 17,North American International Championships 2017 Arcanine,coperta con allenatore,None
